B320;CA' D'ANDREA CR
C440;CELLE ENOMONDO AT
C443;CELLE LIGURE SV
C442;CELLE SAN VITO FG
C446;CELLENO VT
C447;CELLERE VT
C449;CELLINO ATTANASIO TE
C448;CELLINO SAN MARCO BR
C450;CELLIO VC
M262;CELLOLE CE
C452;CEMBRA TN
C453;CENADI CZ
C456;CENATE SOPRA BG
C457;CENATE SOTTO BG
C458;CENCENIGHE AGORDINO BL
C459;CENE BG
C461;CENESELLI RO
C463;CENGIO SV
C467;CENTA SAN NICOLO' TN
C466;CENTALLO CN
C469;CENTO FE
C470;CENTOLA SA
C472;CENTRACHE CZ
C471;CENTURIPE EN
C474;CEPAGATTI PE
C476;CEPPALONI BN
C478;CEPPO MORELLI VB
C479;CEPRANO FR
C480;CERAMI EN
C481;CERANESI GE
C483;CERANO NO
C482;CERANO D'INTELVI CO
C484;CERANOVA PV
C485;CERASO SA
C486;CERCEMAGGIORE CB
C487;CERCENASCO TO
C488;CERCEPICCOLA CB
C489;CERCHIARA DI CALABRIA CS
C492;CERCHIO AQ
C493;CERCINO SO
C494;CERCIVENTO UD
C495;CERCOLA NA
C496;CERDA PA
C498;CEREA VR
C500;CEREGNANO RO
C501;CERENZIA KR
C497;CERES TO
C502;CERESARA MN
C561;CESA CE
C563;CESANA BRIANZA LC
C564;CESANA TORINESE TO
C565;CESANO BOSCONE MI
C566;CESANO MADERNO MI
C567;CESARA VB
C509;CERGNAGO PV
C510;CERIALE SV
C511;CERIANA IM
C512;CERIANO LAGHETTO MI
C513;CERIGNALE PC
C514;CERIGNOLA FG
C515;CERISANO CS
C516;CERMENATE CO
A022;CERMES .TSCHERMS. BZ
C517;CERMIGNANO TE
C520;CERNOBBIO CO
C521;CERNUSCO LOMBARDONE LC
C523;CERNUSCO SUL NAVIGLIO MI
C526;CERRETO CASTELLO BI
C528;CERRETO D'ASTI AT
C524;CERRETO D'ESI AN
C527;CERRETO DI SPOLETO PG
C507;CERRETO GRUE AL
C529;CERRETO GUIDI FI
C518;CERRETO LAZIALE RM
C525;CERRETO SANNITA BN
C530;CERRETTO DELLE LANGHE CN
C531;CERRINA AL
C532;CERRIONE BI
C536;CERRO AL LAMBRO MI
C534;CERRO AL VOLTURNO IS
C537;CERRO MAGGIORE MI
C533;CERRO TANARO AT
C538;CERRO VERONESE VR
C539;CERSOSIMO PZ
C540;CERTALDO FI
C541;CERTOSA DI PAVIA PV
C542;CERVA CZ
C543;CERVARA DI ROMA RM
C544;CERVARESE SANTA CROCE PD
C545;CERVARO FR
C547;CERVASCA CN
C548;CERVATTO VC
C549;CERVENO BS
C550;CERVERE CN
C551;CERVESINA PV
C552;CERVETERI RM
C553;CERVIA RA
C554;CERVICATI CS
C555;CERVIGNANO D'ADDA LO
C556;CERVIGNANO DEL FRIULI UD
C557;CERVINARA AV
C558;CERVINO CE
C559;CERVO IM
C560;CERZETO CS
C632;CHIETI CH
C633;CHIEUTI FG
C634;CHIEVE CR
C635;CHIGNOLO D'ISOLA BG
C637;CHIGNOLO PO PV
C638;CHIOGGIA VE
C568;CESARO' ME
C569;CESATE MI
C573;CESENA FC
C574;CESENATICO FC
C576;CESINALI AV
C578;CESIO IM
C577;CESIOMAGGIORE BL
C580;CESSALTO TV
C581;CESSANITI VV
C582;CESSAPALOMBO MC
C583;CESSOLE AT
C584;CETARA SA
C585;CETO BS
C587;CETONA SI
C588;CETRARO CS
C589;CEVA CN
C591;CEVO BS
C593;CHALLAND-SAINT-ANSELME AO
C594;CHALLAND-SAINT-VICTOR AO
C595;CHAMBAVE AO
B491;CHAMOIS AO
C596;CHAMPDEPRAZ AO
B540;CHAMPORCHER AO
C598;CHARVENSOD AO
C294;CHATILLON AO
C599;CHERASCO CN
C600;CHEREMULE SS
C604;CHIALAMBERTO TO
C605;CHIAMPO VI
C606;CHIANCHE AV
C608;CHIANCIANO TERME SI
C609;CHIANNI PI
C610;CHIANOCCO TO
C612;CHIARAMONTE GULFI RG
C613;CHIARAMONTI SS
C614;CHIARANO TV
C615;CHIARAVALLE AN
C616;CHIARAVALLE CENTRALE CZ
C618;CHIARI BS
C619;CHIAROMONTE PZ
C620;CHIAUCI IS
C621;CHIAVARI GE
C623;CHIAVENNA SO
C624;CHIAVERANO TO
C625;CHIENES .KIENS. BZ
C627;CHIERI TO
C630;CHIES D'ALPAGO BL
C628;CHIESA IN VALMALENCO SO
C629;CHIESANUOVA TO
C631;CHIESINA UZZANESE PT
C709;CINO SO
C710;CINQUEFRONDI RC
C711;CINTANO TO
C712;CINTE TESINO TN
C714;CINTO CAOMAGGIORE VE
C713;CINTO EUGANEO PD
C639;CHIOMONTE TO
C640;CHIONS PN
C641;CHIOPRIS VISCONE UD
C648;CHITIGNANO AR
C649;CHIUDUNO BG
C650;CHIUPPANO VI
C651;CHIURO SO
C652;CHIUSA .KLAUSEN. BZ
C653;CHIUSA DI PESIO CN
C655;CHIUSA DI SAN MICHELE TO
C654;CHIUSA SCLAFANI PA
C656;CHIUSAFORTE UD
C657;CHIUSANICO IM
C658;CHIUSANO D'ASTI AT
C659;CHIUSANO DI SAN DOMENICO AV
C660;CHIUSAVECCHIA IM
C661;CHIUSDINO SI
C662;CHIUSI SI
C663;CHIUSI DELLA VERNA AR
C665;CHIVASSO TO
M272;CIAMPINO RM
C668;CIANCIANA AG
C672;CIBIANA DI CADORE BL
C673;CICAGNA GE
C674;CICALA CZ
C675;CICCIANO NA
C676;CICERALE SA
C677;CICILIANO RM
C678;CICOGNOLO CR
C679;CICONIO TO
C680;CIGLIANO VC
C681;CIGLIE' CN
C684;CIGOGNOLA PV
C685;CIGOLE BS
C686;CILAVEGNA PV
C689;CIMADOLMO TV
C691;CIMBERGO BS
C694;CIMEGO TN
C695;CIMINA' RC
C696;CIMINNA PA
C697;CIMITILE NA
C699;CIMOLAIS PN
C700;CIMONE TN
C701;CINAGLIO AT
C702;CINETO ROMANO RM
C703;CINGIA DE' BOTTI CR
C704;CINGOLI MC
C705;CINIGIANO GR
C707;CINISELLO BALSAMO MI
C708;CINISI PA
C781;CIVITELLA DEL TRONTO TE
C777;CIVITELLA DI ROMAGNA FC
C774;CIVITELLA IN VAL DI CHIANA AR
C776;CIVITELLA MESSER RAIMONDO CH
C782;CIVITELLA PAGANICO GR
C783;CIVITELLA ROVETO AQ
C715;CINZANO TO
C716;CIORLANO CE
C718;CIPRESSA IM
C719;CIRCELLO BN
C722;CIRIE' TO
C723;CIRIGLIANO MT
C724;CIRIMIDO CO
C725;CIRO' KR
C726;CIRO' MARINA KR
C727;CIS TN
C728;CISANO BERGAMASCO BG
C729;CISANO SUL NEVA SV
C730;CISERANO BG
C732;CISLAGO VA
C733;CISLIANO MI
C734;CISMON DEL GRAPPA VI
C735;CISON DI VALMARINO TV
C738;CISSONE CN
C739;CISTERNA D'ASTI AT
C740;CISTERNA DI LATINA LT
C741;CISTERNINO BR
C742;CITERNA PG
C744;CITTA' DELLA PIEVE PG
C745;CITTA' DI CASTELLO PG
C750;CITTA' SANT'ANGELO PE
C743;CITTADELLA PD
C746;CITTADUCALE RI
C747;CITTANOVA RC
C749;CITTAREALE RI
C751;CITTIGLIO VA
C752;CIVATE LC
C754;CIVENNA CO
C755;CIVEZZA IM
C756;CIVEZZANO TN
C757;CIVIASCO VC
C758;CIVIDALE DEL FRIULI UD
C759;CIVIDATE AL PIANO BG
C760;CIVIDATE CAMUNO BS
C763;CIVITA CS
C765;CIVITA CASTELLANA VT
C766;CIVITA D'ANTINO AQ
C764;CIVITACAMPOMARANO CB
C768;CIVITALUPARELLA CH
C769;CIVITANOVA DEL SANNIO IS
C770;CIVITANOVA MARCHE MC
C771;CIVITAQUANA PE
C773;CIVITAVECCHIA RM
C778;CIVITELLA ALFEDENA AQ
C779;CIVITELLA CASANOVA PE
C780;CIVITELLA D'AGLIANO VT
C850;COLLEBEATO BS
C852;COLLECCHIO PR
C853;COLLECORVINO PE
C311;COLLEDARA TE
C855;COLLEDIMACINE CH
C856;COLLEDIMEZZO CH
C784;CIVITELLA SAN PAOLO RM
C785;CIVO SO
C787;CLAINO CON OSTENO CO
C790;CLAUT PN
C791;CLAUZETTO PN
C792;CLAVESANA CN
C793;CLAVIERE TO
C794;CLES TN
C795;CLETO CS
C796;CLIVIO VA
C797;CLOZ TN
C800;CLUSONE BG
C801;COASSOLO TORINESE TO
C803;COAZZE TO
C804;COAZZOLO AT
C806;COCCAGLIO BS
C807;COCCONATO AT
C810;COCQUIO-TREVISAGO VA
C811;COCULLO AQ
C812;CODEVIGO PD
C813;CODEVILLA PV
C814;CODIGORO FE
C815;CODOGNE' TV
C816;CODOGNO LO
C817;CODROIPO UD
C818;CODRONGIANOS SS
C819;COGGIOLA BI
C820;COGLIATE MI
C821;COGNE AO
C823;COGOLETO GE
C824;COGOLLO DEL CENGIO VI
C826;COGORNO GE
C829;COLAZZA NO
C830;COLBORDOLO PU
C835;COLERE BG
C836;COLFELICE FR
C838;COLI PC
C839;COLICO LC
C840;COLLAGNA RE
C841;COLLALTO SABINO RI
C844;COLLARMELE AQ
C845;COLLAZZONE PG
C851;COLLE BRIANZA LC
C854;COLLE D'ANCHISE CB
C857;COLLE DI TORA RI
C847;COLLE DI VAL D'ELSA SI
C870;COLLE SAN MAGNO FR
C846;COLLE SANNITA BN
C872;COLLE SANTA LUCIA BL
C848;COLLE UMBERTO TV
C933;COMO CO
C934;COMPIANO PR
C937;COMUN NUOVO BG
C935;COMUNANZA AP
C938;CONA VE
C941;CONCA CASALE IS
C858;COLLEFERRO RM
C859;COLLEGIOVE RI
C860;COLLEGNO TO
C862;COLLELONGO AQ
C864;COLLEPARDO FR
C865;COLLEPASSO LE
C866;COLLEPIETRO AQ
C867;COLLERETTO CASTELNUOVO TO
C868;COLLERETTO GIACOSA TO
C869;COLLESALVETTI LI
C871;COLLESANO PA
C875;COLLETORTO CB
C876;COLLEVECCHIO RI
C878;COLLI A VOLTURNO IS
C877;COLLI DEL TRONTO AP
C880;COLLI SUL VELINO RI
C879;COLLIANO SA
C882;COLLINAS CA
C883;COLLIO BS
C884;COLLOBIANO VC
C885;COLLOREDO DI MONTE ALBANO UD
C886;COLMURANO MC
C888;COLOBRARO MT
C890;COLOGNA VENETA VR
C893;COLOGNE BS
C894;COLOGNO AL SERIO BG
C895;COLOGNO MONZESE MI
C897;COLOGNOLA AI COLLI VR
C900;COLONNA RM
C901;COLONNELLA TE
C902;COLONNO CO
C903;COLORINA SO
C904;COLORNO PR
C905;COLOSIMI CS
C908;COLTURANO MI
C910;COLZATE BG
C911;COMABBIO VA
C912;COMACCHIO FE
C914;COMANO MS
C917;COMAZZO LO
C918;COMEGLIANS UD
C920;COMELICO SUPERIORE BL
C922;COMERIO VA
C925;COMEZZANO-CIZZAGO BS
C926;COMIGNAGO NO
C927;COMISO RG
C928;COMITINI AG
C929;COMIZIANO NA
C930;COMMESSAGGIO MN
C931;COMMEZZADURA TN
D003;CORI LT
D004;CORIANO RN
D005;CORIGLIANO CALABRO CS
D006;CORIGLIANO D'OTRANTO LE
D007;CORINALDO AN
D008;CORIO TO
D009;CORLEONE PA
C940;CONCA DEI MARINI SA
C939;CONCA DELLA CAMPANIA CE
C943;CONCAMARISE VR
C944;CONCEI TN
C946;CONCERVIANO RI
C948;CONCESIO BS
C949;CONCO VI
C950;CONCORDIA SAGITTARIA VE
C951;CONCORDIA SULLA SECCHIA MO
C952;CONCOREZZO MI
C953;CONDINO TN
C954;CONDOFURI RC
C955;CONDOVE TO
C956;CONDRO' ME
C957;CONEGLIANO TV
C958;CONFIENZA PV
C959;CONFIGNI RI
C960;CONFLENTI CZ
C962;CONIOLO AL
C963;CONSELICE RA
C964;CONSELVE PD
C965;CONSIGLIO DI RUMO CO
C968;CONTESSA ENTELLINA PA
C969;CONTIGLIANO RI
C971;CONTRADA AV
C972;CONTROGUERRA TE
C973;CONTRONE SA
C974;CONTURSI TERME SA
C975;CONVERSANO BA
C976;CONZA DELLA CAMPANIA AV
C977;CONZANO AL
C978;COPERTINO LE
C979;COPIANO PV
C980;COPPARO FE
C982;CORANA PV
C983;CORATO BA
C984;CORBARA SA
C986;CORBETTA MI
C987;CORBOLA RO
C988;CORCHIANO VT
C990;CORCIANO PG
C991;CORDENONS PN
C992;CORDIGNANO TV
C993;CORDOVADO PN
C994;COREDO TN
C996;COREGLIA ANTELMINELLI LU
C995;COREGLIA LIGURE GE
C998;CORENO AUSONIO FR
C999;CORFINIO AQ
D079;CORVARA IN BADIA .CORVARA. BZ
D081;CORVINO SAN QUIRICO PV
D082;CORZANO BS
D085;COSEANO UD
D086;COSENZA CS
D087;COSIO D'ARROSCIA IM
D088;COSIO VALTELLINO SO
D011;CORLETO MONFORTE SA
D010;CORLETO PERTICARA PZ
D013;CORMANO MI
D014;CORMONS GO
D015;CORNA IMAGNA BG
D016;CORNALBA BG
D017;CORNALE PV
D018;CORNAREDO MI
D019;CORNATE D'ADDA MI
B799;CORNEDO ALL'ISARCO .KARNEID. BZ
D020;CORNEDO VICENTINO VI
D021;CORNEGLIANO LAUDENSE LO
D022;CORNELIANO D'ALBA CN
D026;CORNIGLIO PR
D027;CORNO DI ROSAZZO UD
D028;CORNO GIOVINE LO
D029;CORNOVECCHIO LO
D030;CORNUDA TV
D037;CORREGGIO RE
D038;CORREZZANA MI
D040;CORREZZOLA PD
D041;CORRIDO CO
D042;CORRIDONIA MC
D043;CORROPOLI TE
D044;CORSANO LE
D045;CORSICO MI
D046;CORSIONE AT
D048;CORTACCIA SULLA STRADA DEL VINO .KURTATSCH A. BZ
D049;CORTALE CZ
D050;CORTANDONE AT
D051;CORTANZE AT
D052;CORTAZZONE AT
D054;CORTE BRUGNATELLA PC
D056;CORTE DE' CORTESI CON CIGNONE CR
D057;CORTE DE' FRATI CR
D058;CORTE FRANCA BS
D068;CORTE PALASIO LO
D061;CORTEMAGGIORE PC
D062;CORTEMILIA CN
D064;CORTENO GOLGI BS
D065;CORTENOVA LC
D066;CORTENUOVA BG
D067;CORTEOLONA PV
D072;CORTIGLIONE AT
A266;CORTINA D'AMPEZZO BL
D075;CORTINA SULLA STRADA DEL VINO .KURTINIG AN D. BZ
D076;CORTINO TE
D077;CORTONA AR
D078;CORVARA PE
D157;CRESPANO DEL GRAPPA TV
D158;CRESPELLANO BO
D159;CRESPIATICA LO
D160;CRESPINA PI
D161;CRESPINO RO
D162;CRESSA NO
D165;CREVACUORE BI
D089;COSOLETO RC
D093;COSSANO BELBO CN
D092;COSSANO CANAVESE TO
D094;COSSATO BI
D095;COSSERIA SV
D096;COSSIGNANO AP
D099;COSSOGNO VB
D100;COSSOINE SS
D101;COSSOMBRATO AT
D109;COSTA DE' NOBILI PV
D110;COSTA DI MEZZATE BG
D105;COSTA DI ROVIGO RO
D111;COSTA DI SERINA BG
D112;COSTA MASNAGA LC
D103;COSTA VALLE IMAGNA BG
D102;COSTA VESCOVATO AL
D117;COSTA VOLPINO BG
D107;COSTABISSARA VI
D108;COSTACCIARO PG
D113;COSTANZANA VC
D114;COSTARAINERA IM
D118;COSTERMANO VR
D119;COSTIGLIOLE D'ASTI AT
D120;COSTIGLIOLE SALUZZO CN
D121;COTIGNOLA RA
D123;COTRONEI KR
D124;COTTANELLO RI
D012;COURMAYEUR AO
D126;COVO BG
D127;COZZO PV
D128;CRACO MT
D131;CRANDOLA VALSASSINA LC
D132;CRAVAGLIANA VC
D133;CRAVANZANA CN
D134;CRAVEGGIA VB
D136;CREAZZO VI
D137;CRECCHIO CH
D139;CREDARO BG
D141;CREDERA RUBBIANO CR
D142;CREMA CR
D143;CREMELLA LC
D144;CREMENAGA VA
D145;CREMENO LC
D147;CREMIA CO
D149;CREMOLINO AL
D150;CREMONA CR
D151;CREMOSANO CR
D154;CRESCENTINO VC
D156;CRESPADORO VI
D227;CURTATONE MN
D228;CURTI CE
D229;CUSAGO MI
D231;CUSANO MILANINO MI
D230;CUSANO MUTRI BN
D232;CUSINO CO
D233;CUSIO BG
D166;CREVALCORE BO
D168;CREVOLADOSSOLA VB
D170;CRISPANO NA
D171;CRISPIANO TA
D172;CRISSOLO CN
D175;CROCEFIESCHI GE
C670;CROCETTA DEL MONTELLO TV
D177;CRODO VB
D179;CROGNALETO TE
D180;CROPALATI CS
D181;CROPANI CZ
D182;CROSA BI
D184;CROSIA CS
D185;CROSIO DELLA VALLE VA
D122;CROTONE KR
D186;CROTTA D'ADDA CR
D187;CROVA VC
D188;CROVIANA TN
D189;CRUCOLI KR
D192;CUASSO AL MONTE VA
D194;CUCCARO MONFERRATO AL
D195;CUCCARO VETERE SA
D196;CUCCIAGO CO
D197;CUCEGLIO TO
D198;CUGGIONO MI
D199;CUGLIATE-FABIASCO VA
D200;CUGLIERI OR
D201;CUGNOLI PE
D202;CUMIANA TO
D203;CUMIGNANO SUL NAVIGLIO CR
D204;CUNARDO VA
D205;CUNEO CN
D206;CUNEVO TN
D207;CUNICO AT
D208;CUORGNE' TO
D209;CUPELLO CH
D210;CUPRA MARITTIMA AP
D211;CUPRAMONTANA AN
B824;CURA CARPIGNANO PV
D214;CURCURIS OR
D216;CUREGGIO NO
D217;CURIGLIA CON MONTEVIASCO VA
D218;CURINGA CZ
D219;CURINO BI
D221;CURNO BG
D222;CURON VENOSTA .GRAUN IN VINSCHGAU. BZ
D223;CURSI LE
D225;CURSOLO-ORASSO VB
D226;CURTAROLO PD
D234;CUSTONACI TP
D235;CUTIGLIANO PT
D236;CUTRO KR
D237;CUTROFIANO LE
D238;CUVEGLIO VA
D239;CUVIO VA
